
> tutor-backend@1.0.0 start
> node index.js

Database connected successfully.
Server is running on http://localhost:3000
Starting to populate 5005 questions
Populating chunk 78	Question 3850-3900	Timestamp 2025-03-30T13:32:48.296Z
Populating chunk 79	Question 3900-3950	Timestamp 2025-03-30T13:33:15.412Z
Populating chunk 80	Question 3950-4000	Timestamp 2025-03-30T13:33:39.828Z
Populating chunk 81	Question 4000-4050	Timestamp 2025-03-30T13:34:07.689Z
Populating chunk 82	Question 4050-4100	Timestamp 2025-03-30T13:34:39.705Z
Populating chunk 83	Question 4100-4150	Timestamp 2025-03-30T13:35:09.653Z
Populating chunk 84	Question 4150-4200	Timestamp 2025-03-30T13:35:32.956Z
Populating chunk 85	Question 4200-4250	Timestamp 2025-03-30T13:35:55.671Z
Populating chunk 86	Question 4250-4300	Timestamp 2025-03-30T13:36:20.439Z
Populating chunk 87	Question 4300-4350	Timestamp 2025-03-30T13:36:42.131Z
Populating chunk 88	Question 4350-4400	Timestamp 2025-03-30T13:37:07.843Z
Populating chunk 89	Question 4400-4450	Timestamp 2025-03-30T13:37:30.355Z
Populating chunk 90	Question 4450-4500	Timestamp 2025-03-30T13:37:52.908Z
Populating chunk 91	Question 4500-4550	Timestamp 2025-03-30T13:38:21.623Z
Populating chunk 92	Question 4550-4600	Timestamp 2025-03-30T13:38:52.603Z
Populating chunk 93	Question 4600-4650	Timestamp 2025-03-30T13:39:20.515Z
Populating chunk 94	Question 4650-4700	Timestamp 2025-03-30T13:39:41.775Z
Populating chunk 95	Question 4700-4750	Timestamp 2025-03-30T13:40:07.526Z
Populating chunk 96	Question 4750-4800	Timestamp 2025-03-30T13:40:38.852Z
Populating chunk 97	Question 4800-4850	Timestamp 2025-03-30T13:41:04.240Z
Populating chunk 98	Question 4850-4900	Timestamp 2025-03-30T13:41:34.358Z
Populating chunk 99	Question 4900-4950	Timestamp 2025-03-30T13:42:02.719Z
Populating chunk 100	Question 4950-5000	Timestamp 2025-03-30T13:42:28.758Z
Populating chunk 101	Question 5000-5050	Timestamp 2025-03-30T13:42:51.770Z
